label,count,positive,negative
game,1,0.0,0.0
Whale+hunting,1,0.0,0.0
these days,1,0.0,0.0
old timey,1,0.0,0.0
Again,1,0.0,0.0
Conservation,1,0.0,0.25
flush,1,0.375,0.0
NOT+FOR+,1,0.0,0.0
RESEARCH,1,0.0,0.0
nough+Whaling+Comm,1,0.0,0.0
serpents,1,0.0,0.375
federal study,1,0.0,0.0
Tsunami Fund,1,0.0,0.0
Gray,1,0.0,0.125
+%23The,1,0.0,0.0
First,1,0.0,0.0
Tribe,1,0.0,0.0
Sci,1,0.0,0.0
@vroserussell me,1,0.0,0.0
Hearing,1,0.0,0.0
Americans,1,0.0,0.0
el,1,0.0,0.0
America Leviathan,1,0.0,0.0
Tim+Burton,1,0.0,0.0
Gacha,1,0.0,0.0
Bestu,1,0.0,0.0
Week,1,0.0,0.0
23Californ,1,0.0,0.0
start,1,0.0,0.0
racist,1,0.0,0.0
EARTH,1,0.0,0.0
NU,1,0.0,0.0
my family,1,0.0,0.0
Peter Lourie,1,0.0,0.0
eat,1,0.0,0.0
Africa,1,0.0,0.0
problem,1,0.0,0.625
UN+%,1,0.0,0.0
21+%2,1,0.0,0.0
am,1,0.0,0.0
rein in,1,0.0,0.0
Real,1,0.0,0.0
Map,1,0.0,0.0
Turning,1,0.0,0.0
Finless Porpoise,1,0.0,0.0
@sscsboston,1,0.0,0.0
A-,1,0.0,0.0
EU+%23,1,0.0,0.0
@peteswildlife,1,0.0,0.0
OSES+OF+SCIENTIFIC+,1,0.0,0.0
Makah Tribe,1,0.0,0.0
+There+is+no+whaling+in+IWC+at+all,1,0.0,0.0
filthy lucre,1,0.0,0.0
'S,1,0.0,0.0
Yeah,1,0.0,0.0
